name,upper_lower_id,push_pull_id
Assisted Chin-Up,2,1
Assisted Pull-Up,2,1
Back Extension,2,1
Banded Muscle-Up,2,1
Bar Hang,2,1
Barbell Curl,2,1
Barbell Preacher Curl,2,1
Barbell Row,2,1
Barbell Shrug,2,1
Barbell Wrist Curl,2,1
Barbell Wrist Curl Behind the Back,2,1
Barbell Wrist Extension,2,1
Block Clean,2,1
Block Snatch,2,1
Bodyweight Curl,2,1
Cable Close Grip Seated Row,2,1
Cable Curl With Bar,2,1
Cable Curl With Rope,2,1
Cable Wide Grip Seated Row,2,1
Chin-Up,2,1
Clean,2,1
Clean and Jerk,2,1
Concentration Curl,2,1
Deadlift,2,1
Deficit Deadlift,2,1
Dumbbell Curl,2,1
Dumbbell Deadlift,2,1
Dumbbell Preacher Curl,2,1
Dumbbell Row,2,1
Dumbbell Shrug,2,1
Dumbbell Wrist Curl,2,1
Dumbbell Wrist Extension,2,1
Farmers Walk,2,1
Fat Bar Deadlift,2,1
Floor Back Extension,2,1
Good Morning,2,1
Gripper,2,1
Hammer Curl,2,1
Hang Clean,2,1
Hang Power Clean,2,1
Hang Power Snatch,2,1
Hang Snatch,2,1
Incline Dumbbell Curl,2,1
Inverted Row,2,1
Inverted Row with Underhand Grip,2,1
Jefferson Curl,2,1
Jumping Muscle-Up,2,1
Kettlebell Swing,2,1
Lat Pulldown With Pronated Grip,2,1
Lat Pulldown With Supinated Grip,2,1
Machine Bicep Curl,2,1
Muscle-Up (Bar),2,1
Muscle-Up (Rings),2,1
One-Handed Bar Hang,2,1
One-Handed Cable Row,2,1
One-Handed Lat Pulldown,2,1
Pause Deadlift,2,1
Pendlay Row,2,1
Plate Pinch,2,1
Plate Wrist Curl,2,1
Power Clean,2,1
Power Snatch,2,1
Pull-Up,2,1
Pull-Up With a Neutral Grip,2,1
Rack Pull,2,1
Ring Pull-Up,2,1
Ring Row,2,1
Seal Row,2,1
Seated Machine Row,2,1
Snatch,2,1
Snatch Grip Deadlift,2,1
Spider Curl,2,1
Stiff-Legged Deadlift,2,1
Straight Arm Lat Pulldown,2,1
Sumo Deadlift,2,1
T-Bar Row,2,1
Towel Pull-Up,2,1
Trap Bar Deadlift With High Handles,2,1
Trap Bar Deadlift With Low Handles,2,1
Air Squat,1,2
Band External Shoulder Rotation,2,2
Band Internal Shoulder Rotation,2,2
Band Pull-Apart,2,2
Banded Side Kicks,1,2
Bar Dip,2,2
Barbell Front Raise,2,2
Barbell Hack Squat,1,2
Barbell Lunge,1,2
Barbell Lying Triceps Extension,2,2
Barbell Rear Delt Row,2,2
Barbell Standing Calf Raise,1,2
Barbell Standing Triceps Extension,2,2
Barbell Upright Row,2,2
Barbell Walking Lunge,1,2
Behind the Neck Press,2,2
Belt Squat,1,2
Bench Dip,2,2
Bench Press,2,2
Board Press,2,2
Body Weight Lunge,1,2
Bodyweight Leg Curl,1,2
Box Squat,1,2
Bulgarian Split Squat,1,2
Cable Chest Press,2,2
Cable Lateral Raise,2,2
Cable Pull Through,1,2
Cable Rear Delt Row,2,2
Chair Squat,1,2
Clamshells,1,2
Close-Grip Bench Press,2,2
Close-Grip Feet-Up Bench Press,2,2
Close-Grip Push-Up,2,2
Decline Bench Press,2,2
Dumbbell Chest Fly,2,2
Dumbbell Chest Press,2,2
Dumbbell Decline Chest Press,2,2
Dumbbell Floor Press,2,2
Dumbbell Frog Pumps,1,2
Dumbbell Front Raise,2,2
Dumbbell Horizontal External Shoulder Rotation,2,2
Dumbbell Horizontal Internal Shoulder Rotation,2,2
Dumbbell Lateral Raise,2,2
Dumbbell Lunge,1,2
Dumbbell Lying Triceps Extension,2,2
Dumbbell Pullover,2,2
Dumbbell Rear Delt Row,2,2
Dumbbell Romanian Deadlift,1,2
Dumbbell Shoulder Press,2,2
Dumbbell Squat,1,2
Dumbbell Standing Triceps Extension,2,2
Eccentric Heel Drop,1,2
Face Pull,2,2
Feet-Up Bench Press,2,2
Fire Hydrants,1,2
Floor Press,2,2
Frog Pumps,1,2
Front Hold,2,2
Front Squat,1,2
Glute Bridge,1,2
Goblet Squat,1,2
Hack Squat Machine,1,2
Half Air Squat,1,2
Heel Raise,1,2
Hip Abduction Against Band,1,2
Hip Abduction Machine,1,2
Hip Adduction Machine,1,2
Hip Thrust,1,2
Hip Thrust Machine,1,2
Hip Thrust With Band Around Knees,1,2
Incline Bench Press,2,2
Incline Dumbbell Press,2,2
Incline Push-Up,2,2
Jumping Lunge,1,2
Kettlebell Floor Press,2,2
Kneeling Incline Push-Up,2,2
Kneeling Push-Up,2,2
Landmine Hack Squat,1,2
Landmine Squat,1,2
Lateral Walk With Band,1,2
Leg Curl On Ball,1,2
Leg Extension,1,2
Leg Press,1,2
Lying Dumbbell External Shoulder Rotation,2,2
Lying Dumbbell Internal Shoulder Rotation,2,2
Lying Leg Curl,1,2
Machine Chest Fly,2,2
Machine Chest Press,2,2
Machine Glute Kickbacks,1,2
Machine Lateral Raise,2,2
Machine Shoulder Press,2,2
Monkey Row,2,2
Nordic Hamstring Eccentric,1,2
One-Legged Glute Bridge,1,2
One-Legged Hip Thrust,1,2
Overhead Cable Triceps Extension,2,2
Overhead Press,2,2
Pause Squat,1,2
Pec Deck,2,2
Pin Bench Press,2,2
Plate Front Raise,2,2
Power Jerk,2,2
Push Press,2,2
Push-Up,2,2
Push-Up Against Wall,2,2
Push-Ups With Feet in Rings,2,2
Resistance Band Chest Fly,2,2
Reverse Barbell Lunge,1,2
Reverse Cable Flyes,2,2
Reverse Dumbbell Flyes,2,2
Reverse Machine Fly,2,2
Romanian Deadlift,1,2
Safety Bar Squat,1,2
Seated Barbell Overhead Press,2,2
Seated Calf Raise,1,2
Seated Dumbbell Shoulder Press,2,2
Seated Leg Curl,1,2
Seated Smith Machine Shoulder Press,2,2
Shallow Body Weight Lunge,1,2
Side Lunges (Bodyweight),1,2
Single Leg Romanian Deadlift,1,2
Smith Machine Bench Press,2,2
Smith Machine Incline Bench Press,2,2
Smith Machine Squat,1,2
Snatch Grip Behind the Neck Press,2,2
Split Jerk,2,2
Squat,1,2
Squat Jerk,2,2
Standing Cable Chest Fly,2,2
Standing Calf Raise,1,2
Standing Glute Kickback in Machine,1,2
Standing Resistance Band Chest Fly,2,2
Step Up,1,2
Tricep Bodyweight Extension,2,2
Tricep Pushdown With Bar,2,2
Tricep Pushdown With Rope,2,2
Zercher Squat,1,2
Ball Slams,2,NULL
Cable Crunch,2,NULL
Crunch,2,NULL
Dead Bug,2,NULL
Hanging Knee Raise,2,NULL
Hanging Leg Raise,2,NULL
Hanging Sit-Up,2,NULL
High to Low Wood Chop with Band,2,NULL
Horizontal Wood Chop with Band,2,NULL
Kneeling Ab Wheel Roll-Out,2,NULL
Kneeling Plank,2,NULL
Kneeling Side Plank,2,NULL
Lying Leg Raise,2,NULL
Lying Windshield Wiper,2,NULL
Lying Windshield Wiper with Bent Knees,2,NULL
Machine Crunch,2,NULL
Mountain Climbers,2,NULL
Oblique Crunch,2,NULL
Oblique Sit-Up,2,NULL
Plank,2,NULL
Plank with Leg Lifts,2,NULL
Side Plank,2,NULL
Sit-Up,2,NULL
